retriever,strategy,recall@1,recall@5,recall@10,mrr,reward,num_records
bm25,expanded,0.7646365422396857,0.9237721021611002,0.9497053045186641,0.8325136433093211,0.7613059375682165,2545
bm25,keyword,0.749705304518664,0.9127701375245579,0.9414538310412573,0.8192461097077992,1.0881888701780646,2545
bm25,original,0.7662082514734774,0.9214145383104125,0.9485265225933203,0.8332151432937287,1.0238374341223064,2545
bm25,prompt,0.7442043222003929,0.9037328094302554,0.9300589390962672,0.8122610471824618,0.694951741665887,2545
bm25,structured,0.712770137524558,0.8746561886051081,0.9029469548133595,0.7826273115664079,0.6313725948794711,2545
dense,expanded,0.0019646365422396855,0.02711198428290766,0.06483300589390963,0.01478513736863442,-0.5324306140268813,2545
dense,keyword,0.028290766208251474,0.1037328094302554,0.16345776031434184,0.06037328094302554,-0.06924361493123775,2545
dense,original,0.0015717092337917485,0.003929273084479371,0.00550098231827112,0.0026326129666011788,-0.3344793713163065,2545
dense,prompt,0.005108055009823182,0.029469548133595286,0.060903732809430254,0.017416035176349518,-0.571625970624006,2545
dense,structured,0.007072691552062868,0.031041257367387033,0.05225933202357564,0.017185112420868807,-0.6020361274830823,2545
hybrid,expanded,0.5776031434184676,0.8404715127701375,0.8856581532416503,0.6938862381887922,0.6279450837309383,2545
hybrid,keyword,0.581532416502947,0.8361493123772102,0.8793713163064834,0.6925321982099979,0.9627493996943898,2545
hybrid,original,0.5383104125736738,0.843222003929273,0.8856581532416503,0.670524526772071,0.8796237565098076,2545
hybrid,prompt,0.5866404715127701,0.8172888015717092,0.8644400785854617,0.6898800948015094,0.5681424049646053,2545
hybrid,structured,0.5732809430255402,0.7944990176817289,0.8373280943025541,0.671841456949512,0.5103608070602176,2545
