hybrid_alpha,mrr,num_questions,recall@1,recall@10,recall@5,retriever
,0.905538923801825,5774,0.8616210599237963,0.9773120886733634,0.9620713543470731,bm25
,0.39864932290893484,5774,0.33010045029442325,0.5616556979563561,0.4890890197436786,dense
0.5,0.8466374992440105,5774,0.781260824385175,0.9496016626255629,0.9308971250432976,hybrid
