subset,retriever,policy_name,recall@1,recall@5,recall@10,mrr,avg_reward,num_records
all,bm25,always_expanded,0.6666666666666666,0.8888888888888888,0.8888888888888888,0.7407407407407407,0.8470844356261023,9
all,bm25,always_keyword,0.3333333333333333,0.4444444444444444,0.6666666666666666,0.41975308641975306,0.4691358024691358,9
all,bm25,always_prompt,0.3333333333333333,0.4444444444444444,0.6666666666666666,0.41975308641975306,0.4691358024691358,9
all,bm25,always_structured,0.3333333333333333,0.4444444444444444,0.6666666666666666,0.41975308641975306,0.4658730158730159,9
all,bm25,contextual_bandit,0.7777777777777778,0.8888888888888888,0.8888888888888888,0.8148148148148148,0.8888888888888888,9
all,bm25,epsilon_greedy_bandit,0.7777777777777778,0.8888888888888888,0.8888888888888888,0.8148148148148148,0.8888888888888888,9
all,bm25,oracle_best_strategy,0.7777777777777778,0.8888888888888888,0.8888888888888888,0.8148148148148148,0.8888888888888888,9
all,bm25,original_only,0.7777777777777778,0.8888888888888888,0.8888888888888888,0.8148148148148148,0.8888888888888888,9
all,dense,always_expanded,0.7777777777777778,1.0,1.0,0.8888888888888888,0.9643683862433863,9
all,dense,always_keyword,1.0,1.0,1.0,1.0,1.0061728395061729,9
all,dense,always_prompt,1.0,1.0,1.0,1.0,1.0061728395061729,9
all,dense,always_structured,1.0,1.0,1.0,1.0,1.002910052910053,9
all,dense,contextual_bandit,1.0,1.0,1.0,1.0,1.0061728395061729,9
all,dense,epsilon_greedy_bandit,0.8888888888888888,1.0,1.0,0.9444444444444444,1.0,9
all,dense,oracle_best_strategy,1.0,1.0,1.0,1.0,1.0061728395061729,9
all,dense,original_only,0.8888888888888888,1.0,1.0,0.9444444444444444,1.0,9
all,hybrid,always_expanded,0.8888888888888888,0.8888888888888888,1.0,0.9012345679012346,0.9767140652557319,9
all,hybrid,always_keyword,0.3333333333333333,0.7777777777777778,1.0,0.553968253968254,0.9382716049382717,9
all,hybrid,always_prompt,0.3333333333333333,0.7777777777777778,1.0,0.553968253968254,0.9382716049382717,9
all,hybrid,always_structured,0.3333333333333333,0.7777777777777778,1.0,0.553968253968254,0.9350088183421517,9
all,hybrid,contextual_bandit,0.8888888888888888,0.8888888888888888,1.0,0.9,1.0,9
all,hybrid,epsilon_greedy_bandit,0.8888888888888888,0.8888888888888888,1.0,0.9012345679012346,0.9767140652557319,9
all,hybrid,oracle_best_strategy,0.8888888888888888,0.8888888888888888,1.0,0.9047619047619048,1.0185185185185186,9
all,hybrid,original_only,0.8888888888888888,0.8888888888888888,1.0,0.9,1.0,9
