retriever,strategy,reward_variant,recall@1,recall@5,recall@10,mrr,avg_reward,num_records
dense,keyword,success_only,0.9,1.0,1.0,0.95,1.0,30
dense,keyword,success_plus_rank,0.9,1.0,1.0,0.95,1.001851851851852,30
dense,keyword,no_drift_penalty,0.9,1.0,1.0,0.95,1.001851851851852,30
dense,keyword,full_reward,0.9,1.0,1.0,0.95,1.001851851851852,30
dense,original,success_only,0.9,1.0,1.0,0.9444444444444444,1.0,30
dense,original,success_plus_rank,0.9,1.0,1.0,0.9444444444444444,1.0,30
dense,original,no_drift_penalty,0.9,1.0,1.0,0.9444444444444444,1.0,30
dense,original,full_reward,0.9,1.0,1.0,0.9444444444444444,1.0,30
dense,prompt,success_only,0.9,1.0,1.0,0.95,1.0,30
dense,prompt,success_plus_rank,0.9,1.0,1.0,0.95,1.001851851851852,30
dense,prompt,no_drift_penalty,0.9,1.0,1.0,0.95,1.001851851851852,30
dense,prompt,full_reward,0.9,1.0,1.0,0.95,1.001851851851852,30
dense,structured,success_only,0.9,1.0,1.0,0.95,1.0,30
dense,structured,success_plus_rank,0.9,1.0,1.0,0.95,1.001851851851852,30
dense,structured,no_drift_penalty,0.9,1.0,1.0,0.95,0.9999146825396825,30
dense,structured,full_reward,0.9,1.0,1.0,0.95,0.9999146825396825,30
hybrid,expanded,success_only,0.9,0.9666666666666667,1.0,0.937037037037037,1.0,30
hybrid,expanded,success_plus_rank,0.9,0.9666666666666667,1.0,0.937037037037037,1.001851851851852,30
hybrid,expanded,no_drift_penalty,0.9,0.9666666666666667,1.0,0.937037037037037,0.9825274470899469,30
hybrid,expanded,full_reward,0.9,0.9666666666666667,1.0,0.937037037037037,0.9825274470899469,30
hybrid,keyword,success_only,0.6666666666666666,0.9,0.9666666666666667,0.7645238095238095,0.9666666666666667,30
hybrid,keyword,success_plus_rank,0.6666666666666666,0.9,0.9666666666666667,0.7645238095238095,0.9185185185185186,30
hybrid,keyword,no_drift_penalty,0.6666666666666666,0.9,0.9666666666666667,0.7645238095238095,0.9185185185185186,30
hybrid,keyword,full_reward,0.6666666666666666,0.9,0.9666666666666667,0.7645238095238095,0.9185185185185186,30
hybrid,original,success_only,0.9,0.9666666666666667,1.0,0.9366666666666668,1.0,30
hybrid,original,success_plus_rank,0.9,0.9666666666666667,1.0,0.9366666666666668,1.0,30
hybrid,original,no_drift_penalty,0.9,0.9666666666666667,1.0,0.9366666666666668,1.0,30
hybrid,original,full_reward,0.9,0.9666666666666667,1.0,0.9366666666666668,1.0,30
hybrid,prompt,success_only,0.6666666666666666,0.9,0.9666666666666667,0.7645238095238095,0.9666666666666667,30
hybrid,prompt,success_plus_rank,0.6666666666666666,0.9,0.9666666666666667,0.7645238095238095,0.9185185185185186,30
hybrid,prompt,no_drift_penalty,0.6666666666666666,0.9,0.9666666666666667,0.7645238095238095,0.9185185185185186,30
hybrid,prompt,full_reward,0.6666666666666666,0.9,0.9666666666666667,0.7645238095238095,0.9185185185185186,30
hybrid,structured,success_only,0.6666666666666666,0.8666666666666667,0.9666666666666667,0.7611904761904762,0.9666666666666667,30
hybrid,structured,success_plus_rank,0.6666666666666666,0.8666666666666667,0.9666666666666667,0.7611904761904762,0.9092592592592593,30
hybrid,structured,no_drift_penalty,0.6666666666666666,0.8666666666666667,0.9666666666666667,0.7611904761904762,0.90732208994709,30
hybrid,structured,full_reward,0.6666666666666666,0.8666666666666667,0.9666666666666667,0.7611904761904762,0.90732208994709,30
